,name,decimalLongitude,decimalLatitude,issues,prov,key,datasetKey,publishingOrgKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,scientificName,kingdom,phylum,order,family,genus,genericName,specificEpithet,infraspecificEpithet,taxonRank,dateIdentified,coordinateUncertaintyInMeters,year,month,day,eventDate,modified,lastInterpreted,references,license,geodeticDatum,class,countryCode,country,rightsHolder,identifier,informationWithheld,verbatimEventDate,datasetName,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,recordedBy,catalogNumber,institutionCode,rights,eventTime,occurrenceRemarks,identificationID,individualCount,elevation,elevationAccuracy,continent,stateProvince,habitat,institutionID,georeferencedBy,municipality,county,locality,language,taxonomicStatus,type,vernacularName,samplingProtocol,verbatimElevation,identifiedBy,higherClassification
99,Puma concolor,-72.698127,-51.140878,"cdround,gass84",gbif,1836565030,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:23.859+0000,2018-05-09T01:48:37.555+0000,115,HUMAN_OBSERVATION,7193927,1,44,359,732,9703,2435098,Puma concolor concolor,Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,concolor,SUBSPECIES,2018-03-02T14:59:40.000+0000,26261,2017,3,3,03-03-17,2018-04-10T09:13:44.000+0000,2018-05-09T01:48:55.831+0000,https://www.inaturalist.org/observations/10054207,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,CL,Chile,pfaucher,10054207,Coordinate uncertainty increased to 26261m to protect threatened taxon,2017/03/03 5:56 PM EST,iNaturalist research-grade observations,Observations,1836565030,"Última Esperanza, CL-MA, CL",https://www.inaturalist.org/observations/10054207,559645,pfaucher,10054207,iNaturalist,© pfaucher some rights reserved,22:56:00Z,NA,22261292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Puma concolor,-72.142714,-49.907241,"cdround,gass84",gbif,1847411397,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:33:02.273+0000,2018-05-31T15:18:05.158+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-03-27T05:28:13.000+0000,26454,2018,3,20,20-03-18,2018-05-23T14:27:19.000+0000,2018-05-31T15:18:05.195+0000,https://www.inaturalist.org/observations/10445472,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,AR,Argentina,Nicolas Olejnik,10445472,Coordinate uncertainty increased to 26454m to protect threatened taxon,20-03-18 12:24,iNaturalist research-grade observations,Observations,1847411397,"Lago Argentino, AR-SC, AR",https://www.inaturalist.org/observations/10445472,42007,Nicolas Olejnik,10445472,iNaturalist,© Nicolas Olejnik some rights reserved,NA,NA,23210335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Puma concolor,-71.935143,-40.00165,"cdround,gass84",gbif,1831087676,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:20.232+0000,2018-05-09T01:48:15.212+0000,115,HUMAN_OBSERVATION,7193927,1,44,359,732,9703,2435098,Puma concolor concolor,Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,concolor,SUBSPECIES,2018-02-26T21:25:42.000+0000,28000,2017,1,17,17-01-17,2018-04-13T23:50:47.000+0000,2018-05-09T01:48:20.992+0000,https://www.inaturalist.org/observations/10009006,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,CL,Chile,Oliver Barker,10009006,Coordinate uncertainty increased to 28000m at the request of the observer,2017/01/17 2:24 PM PST,iNaturalist research-grade observations,Observations,1831087676,"Valdivia, CL-LR, CL",https://www.inaturalist.org/observations/10009006,559645,Oliver Barker,10009006,iNaturalist,© Oliver Barker some rights reserved,22:24:00Z,"Puma encountered dead under shrubs next to a seldom-used forest trail, in second-growth Nothofagus (southern beech) forest. Appeared to be subadult or young adult. Skeleton mostly intact (not disarticulated), save for skull and forelimbs which were moved <1m. Some skin and fur remaining. No obvious cause of death.",22138796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Puma concolor,-51.928406,-22.287235,"cdround,gass84",gbif,1850958578,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:36:24.226+0000,2018-06-20T17:36:27.145+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-06-13T02:37:14.000+0000,30298,2018,6,10,10-06-18,2018-06-13T02:39:50.000+0000,2018-06-20T17:38:00.124+0000,https://www.inaturalist.org/observations/13322608,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,BR,Brazil,Sandro Von Matter,13322608,Coordinate uncertainty increased to 30298m to protect threatened taxon,Sun Jun 10 2018 21:26:33 GMT-0300 (GMT-3),iNaturalist research-grade observations,Observations,1850958578,"São Paulo, BR",https://www.inaturalist.org/observations/13322608,42007,Sandro Von Matter,13322608,iNaturalist,by Sandro Von Matter no rights reserved,00:26:33Z,NA,29073250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Puma concolor,-76.886352,0.816199,"cdround,gass84",gbif,1850918274,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:36:07.990+0000,2018-06-20T17:36:09.439+0000,115,HUMAN_OBSERVATION,7193927,1,44,359,732,9703,2435098,Puma concolor concolor,Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,concolor,SUBSPECIES,2018-06-06T00:10:11.000+0000,31449,2018,4,16,16-04-18,2018-06-06T02:45:15.000+0000,2018-06-20T17:36:37.161+0000,https://www.inaturalist.org/observations/13160393,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,CO,Colombia,cabildomusuiuiai,13160393,Coordinate uncertainty increased to 31449m to protect threatened taxon,16-04-18 6:34,iNaturalist research-grade observations,Observations,1850918274,Colombia,https://www.inaturalist.org/observations/13160393,559645,cabildomusuiuiai,13160393,iNaturalist,© cabildomusuiuiai some rights reserved,NA,NA,28619183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Puma concolor,-70.198283,6.7121,cdround,gbif,1822172782,1ef66bdc-801a-4e64-b83a-66125d1aebab,111b5370-2936-4e4e-a772-7d681a7127c1,CO,DWC_ARCHIVE,2018-02-26T15:59:30.724+0000,2018-02-26T15:59:30.796+0000,1,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2017-03-22T00:00:00.000+0000,5,2017,3,22,22-03-17,NA,2018-02-26T15:59:30.964+0000,NA,http://creativecommons.org/publicdomain/zero/1.0/legalcode,WGS84,Mammalia,CO,Colombia,Naturaleza y Cultura Internacional,FOB:NCI:AA115,NA,NA,Caracterización de fauna para el establecimiento de nuevas Reservas Naturales de la Sociedad Civil en Arauca,NA,1822172782,NA,FOB:NCI:AA115,NA,Ángela Alviz,AA115,FOB,NA,NA,NA,NA,1,110,0,SOUTH_AMERICA,Arauca,Bosque de Galeri­a,900.345.968-1,Ángela Alviz,Arauca,Arauca,Vereda Matal de Flor Amarillo,es,Aceptado,Evento,Cunaguaro,Observación ad hoc,110,Ángela Alviz,Animal|Chordata|MammaliaCarnivora|Felidae|Puma
94,Puma concolor,-79.20361,9.31208,gass84,gbif,1836582252,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:27.827+0000,2018-05-09T01:49:05.518+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-03-05T17:09:36.000+0000,5,2017,2,14,14-02-17,2018-03-08T22:07:19.000+0000,2018-05-09T01:49:29.587+0000,https://www.inaturalist.org/observations/10100432,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,PA,Panama,Michael Roy,10100432,NA,2017/02/14 3:30 AM PST,iNaturalist research-grade observations,Observations,1836582252,"Cocobolo nature Reserve, Panama",https://www.inaturalist.org/observations/10100432,42007,Michael Roy,10100432,iNaturalist,© Michael Roy some rights reserved,11:30:00Z,NA,22371358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Puma concolor,-79.20361,9.31208,gass84,gbif,1836582186,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:27.828+0000,2018-05-09T01:49:05.465+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-03-05T17:09:36.000+0000,5,2017,2,13,13-02-17,2018-03-08T22:03:05.000+0000,2018-05-09T01:49:29.290+0000,https://www.inaturalist.org/observations/10100431,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,PA,Panama,Michael Roy,10100431,NA,2017/02/13 11:23 AM PST,iNaturalist research-grade observations,Observations,1836582186,"Cocobolo Nature Reserve, Panama",https://www.inaturalist.org/observations/10100431,42007,Michael Roy,10100431,iNaturalist,© Michael Roy some rights reserved,19:23:00Z,NA,22371359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Puma concolor,-92.890091,15.771558,"cdround,gass84",gbif,1571082267,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:43:55.774+0000,2018-05-31T15:56:12.125+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2017-06-02T20:14:39.000+0000,244,2017,2,21,21-02-17,2018-05-15T20:56:37.000+0000,2018-05-31T15:56:12.147+0000,https://www.inaturalist.org/observations/6470394,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,sierra_madre_chiapas,6470394,NA,2017/02/21 3:11 PM CST,iNaturalist research-grade observations,Observations,1571082267,"La Concordia, Chis., México",http://conabio.inaturalist.org/observations/6470394,42007,sierra_madre_chiapas,6470394,iNaturalist,© sierra_madre_chiapas some rights reserved,21:11:00Z,Agustin Mendez,13362874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Puma concolor,-93.478149,16.043454,"cdround,gass84",gbif,1848809220,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:36:04.230+0000,2018-06-20T17:36:04.369+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-06-04T16:47:40.000+0000,61,2018,5,2,02-05-18,2018-06-11T16:49:32.000+0000,2018-06-20T17:36:13.074+0000,https://www.inaturalist.org/observations/13116660,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Diego Manzano Méndez,13116660,NA,2018/05/02 10:53 AM HST,iNaturalist research-grade observations,Observations,1848809220,"Villa Corzo, Chis., México",https://www.inaturalist.org/observations/13116660,42007,Diego Manzano Méndez,13116660,iNaturalist,© Diego Manzano Méndez some rights reserved,20:53:00Z,"Fotografía tomada como parte de un proyecto de identificación de Atributos de Alto Valor para la Conservación de la Biodiversidad en áreas con aprovechamientos forestales, Pronatura Sur A.C.",28526256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
