algorithms_id,algorithms_name,type,meta_name,meta_influenze,r_packages,python_packages,categorical_data,unlabelled_data,labelled_data,continous_data,unknown_clusters,known_clusters,small_data,medium_data,large_data,factored_predictor,ordered_category,na_friendly,weights,prob,two_class,multi_class,text_data,speed,explainable
ada,Ada Boosting,classification,mlr.classif.ada,1,,,10,-10,10,-10,,,,,,10,-10,-10,-10,10,10,-10,,1,
bartmachine,Bayesian Additive Regression Trees,classification,classif.bartMachine,29,,,10,-10,10,-10,,,,,,10,-10,10,-10,10,10,-10,,,
bgp,Bayesian Gaussian Process,regression,,,,,-10,-10,10,10,,,,,,-10,-10,-10,-10,,-10,-10,,,
binomial,Binomial Regression,classification,classif.binomial,247,,,10,-10,10,-10,,,,,,10,-10,-10,10,10,10,-10,,,
blm,Bayesian Linear Model,regression,,,,,-10,-10,10,10,,,,,,-10,-10,-10,-10,,-10,-10,,,
bst,Gradient Boosting,both,mlr.classif.bst.preproc.preproc,1,,,10,-10,10,10,,,,,,-10,-10,-10,-10,,10,-10,,1,
clusterSVM,Clustered Support Vector Machines,classification,,,,,10,-10,10,-10,,,,,,-10,-10,-10,-10,,10,-10,,2,
dbscan,DBScan Clustering,clustering,,,,,10,10,-10,-10,,,,,,-10,-10,-10,-10,,-10,-10,,,
extraTrees,Extremely Randomized Trees,both,classif.extraTrees,84,,,10,-10,10,10,,,,,,-10,-10,-10,10,10,10,10,,,
fnn,Fast k-Nearest Neighbour,both,classif.fnn,2,,,10,-10,10,10,,,,,,-10,-10,-10,-10,,10,10,,1,
gausspr,Gaussian Processes,both,mlr.classif.gausspr.preproc,65,,,10,-10,10,10,,,,,,10,-10,-10,-10,10,10,10,,4,
gbm,Gradient Boosting Machine,both,classif.gbm,221,,,10,-10,10,10,,,,,,10,-10,10,10,10,10,10,,1,
glm,Generalized Linear Regression,regression,,,,,-10,-10,10,10,,,,,,10,-10,-10,10,,-10,-10,,1,
glmnet,GLM with Lasso or Elasticnet Regularization,regression,mlr.classif.glmnet,610531,,,-10,-10,10,10,,,,,,10,-10,-10,10,,-10,-10,,1,
kkmeans,Kernel K-Means,clustering,,,,,10,10,-10,-10,,,,,,-10,-10,-10,-10,,-10,-10,,,
kknn,k-Nearest Neighbor,both,mlr.classif.kknn,50981,,,10,-10,10,10,,,,,10,10,-10,-10,-10,10,10,10,,1,
kmeans,K-Means,clustering,,,,,10,10,-10,-10,,10,,,10,-10,-10,-10,-10,10,-10,-10,,,
ksvm,Support Vector Machines with Kernal,both,mlr.classif.ksvm,335,,,10,-10,10,10,,,,10,10,10,-10,-10,-10,10,10,10,,1,
lda,Linear Discriminant Analysis,classification,classif.lda,234,,,10,-10,10,-10,,,,,,10,-10,-10,-10,10,10,10,,1,
lm,Simple Linear Regression,regression,mlr.regr.lm,2,,,-10,-10,10,10,,,,,,10,-10,-10,10,,-10,-10,,,
logreg,Logistic Regression,classification,classif.logreg,59,,,10,-10,10,-10,,,,,,10,-10,-10,10,10,10,-10,,1,
multinom,Multinomial Regression,classification,classif.multinom,147,,,10,-10,10,-10,,,,,,10,-10,-10,10,10,10,10,,1,
nbayes,Naive Bayes,classification,,,,,10,-10,10,-10,,,,,10,10,-10,10,-10,10,10,10,10,,
nnet,Neural Network,both,classif.nnet,152,,,10,10,-10,10,,,,,,10,-10,-10,10,10,10,10,,,
rf,Random Forest,both,mlr.classif.RRF.imputed.dummied.preproc,399,,,10,-10,10,10,,,,,,10,10,-10,-10,10,10,10,,,
rknn,Random k-Nearest-Neighbors,classification,mlr.classif.rknn.preproc.preproc,1,,,10,-10,10,-10,,,,,,-10,10,-10,-10,,10,10,,,
rpart,Decision Tree,both,mlr.classif.rpart,465158,,,10,-10,10,10,,,,,,10,10,10,10,10,10,10,,,
svm,Support Vector Machines,both,mlr.classif.svm,459246,,,10,-10,10,10,,,,,10,10,-10,-10,-10,10,10,10,,1,
xgboost,eXtreme Gradient Boosting,both,mlr.classif.xgboost,557611,,,10,-10,10,10,,,,,,-10,-10,10,10,10,10,10,,,
